texto,origen,texto_limpio,tokens,longitud
#rafaelcorrea #ecuador #Hobshawn #robinhood #noblethief #danielnoboa,linkedin,,[],6
"I was really sad to stumble across your article, it’s shameful, it lacks clarity and spreads misinformation.  Electropowerplants that don´t work, have cracks in them, major sources of overcharges and corruption (Ecuador right now has blackouts of up to 7 hours a day), universities that were not opened but closed down. IESS (social security) is a TOTAL mess because of billions of dollars stolen, I could go on and on and on.  Does Commonwealth have $$$ envolved with Correa and feels compelled to defend him?  That is my only explanaation of your untrue, invalid, over the top reponse. … más",linkedin,i was really sad to stumble across your article its shameful it lacks clarity and spreads misinformation electropowerplants that don t work have cracks in them major sources of overcharges and corruption ecuador right now has blackouts of up to hours a day universities that were not opened but closed down iess social security is a total mess because of billions of dollars stolen i could go on and on and on does commonwealth have envolved with correa and feels compelled to defend him that is my only explanaation of your untrue invalid over the top reponse mas,"['was', 'really', 'sad', 'stumbl', 'across', 'your', 'articl', 'its', 'shameful', 'lacks', 'clarity', 'and', 'spreads', 'misinformation', 'electropowerplants', 'that', 'don', 'work', 'hav', 'cracks', 'them', 'major', 'sourc', 'overcharg', 'and', 'corruption', 'ecuador', 'right', 'now', 'blackouts', 'hours', 'day', 'universiti', 'that', 'wer', 'not', 'open', 'but', 'clos', 'down', 'iess', 'social', 'security', 'total', 'mess', 'becaus', 'billions', 'dollars', 'stol', 'could', 'and', 'and', 'does', 'commonwealth', 'hav', 'envolv', 'with', 'corre', 'and', 'feels', 'compell', 'defend', 'him', 'that', 'only', 'explanaation', 'your', 'untru', 'inval', 'over', 'the', 'top', 'repons', 'mas']",100
"I was really sad to stumble across your article, it’s shameful, it lacks clarity and spreads misinformation,  ultra-right propaganda. Allegations against Rafael Correa for stealing $7 billion lack credible evidence, as neither court documents nor the General Attorney's filings mention such an amount. The narrative originated from Moreno, based on a report from the BID, which didn't even mentioned Correa. The cases of Villavicencio's murder and Gabela's murder lack evidence, convictions and are clouded by political manipulation. I sincerely expected better from a retired lecturer living in Ecuador 🇪🇨 you don’t have support Correa o even be a left-wing supporter but you should at least be FAIR !  LAWFARE, this is the name of the game that is being played in Ecuador! … más",linkedin,i was really sad to stumble across your article its shameful it lacks clarity and spreads misinformation ultraright propaganda allegations against rafael correa for stealing billion lack credible evidence as neither court documents nor the general attorneys filings mention such an amount the narrative originated from moreno based on a report from the bid which didnt even mentioned correa the cases of villavicencios murder and gabelas murder lack evidence convictions and are clouded by political manipulation i sincerely expected better from a retired lecturer living in ecuador you dont have support correa o even be a leftwing supporter but you should at least be fair lawfare this is the name of the game that is being played in ecuador mas,"['was', 'really', 'sad', 'stumbl', 'across', 'your', 'articl', 'its', 'shameful', 'lacks', 'clarity', 'and', 'spreads', 'misinformation', 'ultraright', 'propagand', 'allegations', 'against', 'rafael', 'corre', 'for', 'stealing', 'billion', 'lack', 'credibl', 'evidenc', 'neith', 'court', 'documents', 'nor', 'the', 'general', 'attorneys', 'filings', 'mention', 'such', 'amount', 'the', 'narrativ', 'originat', 'from', 'moren', 'bas', 'report', 'from', 'the', 'bid', 'which', 'didnt', 'even', 'mention', 'corre', 'the', 'cas', 'villavicenci', 'murd', 'and', 'gabel', 'murd', 'lack', 'evidenc', 'convictions', 'and', 'are', 'cloud', 'political', 'manipulation', 'sincerely', 'expect', 'bett', 'from', 'retir', 'lectur', 'living', 'ecuador', 'you', 'dont', 'hav', 'support', 'corre', 'even', 'leftwing', 'support', 'but', 'you', 'should', 'least', 'fair', 'lawfar', 'this', 'the', 'nam', 'the', 'gam', 'that', 'being', 'play', 'ecuador', 'mas']",124
"Tom Warson 9 Hydroelectric powerplants, wind farms, schools, univerties, hospitals, roads (the most incredible roads that cut through mountains and then tons and tons of cement and structure to avoid landslides), medicine, cancer treatments, dialysis, palliative care (which also was available for foreigners who chose to live in Ecuador) uniforms, wealthfare, parks, police, the army, ecu911 was almost as good as the British police, art, museums, internet for people in far away communities, agriculture, export projects, Ecuadorean branding that was actually something to be proud of, tourism. Looks the US debt isn’t in the trillions ? … más",linkedin,tom warson hydroelectric powerplants wind farms schools univerties hospitals roads the most incredible roads that cut through mountains and then tons and tons of cement and structure to avoid landslides medicine cancer treatments dialysis palliative care which also was available for foreigners who chose to live in ecuador uniforms wealthfare parks police the army ecu was almost as good as the british police art museums internet for people in far away communities agriculture export projects ecuadorean branding that was actually something to be proud of tourism looks the us debt isnt in the trillions mas,"['tom', 'warson', 'hydroelectric', 'powerplants', 'wind', 'farms', 'schools', 'univerti', 'hospitals', 'roads', 'the', 'most', 'incred', 'roads', 'that', 'cut', 'through', 'mountains', 'and', 'then', 'tons', 'and', 'tons', 'cement', 'and', 'structur', 'avo', 'landslid', 'medicin', 'canc', 'treatments', 'dialysis', 'palliativ', 'car', 'which', 'also', 'was', 'avail', 'for', 'foreigners', 'who', 'chos', 'liv', 'ecuador', 'uniforms', 'wealthfar', 'parks', 'polic', 'the', 'army', 'ecu', 'was', 'almost', 'good', 'the', 'british', 'polic', 'art', 'museums', 'internet', 'for', 'peopl', 'far', 'away', 'communiti', 'agricultur', 'export', 'projects', 'ecuador', 'branding', 'that', 'was', 'actually', 'something', 'proud', 'tourism', 'looks', 'the', 'debt', 'isnt', 'the', 'trillions', 'mas']",98
Rafael Correa fue el mejor Presidente que tuvo y tendrá Ecuador....... Derechistas opresores. Y ahora quién dice como está Ecuador los medios callan la prensa corrupta calla.,linkedin,rafael correa fue el mejor presidente que tuvo y tendra ecuador derechistas opresores y ahora quien dice como esta ecuador los medios callan la prensa corrupta calla,"['rafael', 'corre', 'mejor', 'president', 'tendr', 'ecuador', 'derech', 'opresor', 'ahor', 'dic', 'ecuador', 'medi', 'call', 'prens', 'corrupt', 'call']",27
"I was really sad to stumble across your article, it’s shameful, it lacks clarity and spreads misinformation.  Electropowerplants that don´t work, have cracks in them, major sources of overcharges and corruption (Ecuador right now has blackouts of up to 7 hours a day), universities that were not opened but closed down. IESS (social security) is a TOTAL mess because of billions of dollars stolen, I could go on and on and on.  Does Commonwealth have $$$ envolved with Correa and feels compelled to defend him?  That is my only explanaation of your untrue, invalid, over the top reponse. … más",linkedin,i was really sad to stumble across your article its shameful it lacks clarity and spreads misinformation electropowerplants that don t work have cracks in them major sources of overcharges and corruption ecuador right now has blackouts of up to hours a day universities that were not opened but closed down iess social security is a total mess because of billions of dollars stolen i could go on and on and on does commonwealth have envolved with correa and feels compelled to defend him that is my only explanaation of your untrue invalid over the top reponse mas,"['was', 'really', 'sad', 'stumbl', 'across', 'your', 'articl', 'its', 'shameful', 'lacks', 'clarity', 'and', 'spreads', 'misinformation', 'electropowerplants', 'that', 'don', 'work', 'hav', 'cracks', 'them', 'major', 'sourc', 'overcharg', 'and', 'corruption', 'ecuador', 'right', 'now', 'blackouts', 'hours', 'day', 'universiti', 'that', 'wer', 'not', 'open', 'but', 'clos', 'down', 'iess', 'social', 'security', 'total', 'mess', 'becaus', 'billions', 'dollars', 'stol', 'could', 'and', 'and', 'does', 'commonwealth', 'hav', 'envolv', 'with', 'corre', 'and', 'feels', 'compell', 'defend', 'him', 'that', 'only', 'explanaation', 'your', 'untru', 'inval', 'over', 'the', 'top', 'repons', 'mas']",100
"In 8 hours of work, without BIM methodology, ¿how many mechanical drawings can a mechanical designer produce? En 8 horas de trabajo, Sin metodología BIM ¿Cuantos planos mecánicos puede elaborar un proyectista mecánico? Project Management Project Management Institute IPMA: International Project Management Association … más",linkedin,in hours of work without bim methodology how many mechanical drawings can a mechanical designer produce en horas de trabajo sin metodologia bim cuantos planos mecanicos puede elaborar un proyectista mecanico project management project management institute ipma international project management association mas,"['hours', 'work', 'without', 'bim', 'methodology', 'how', 'many', 'mechanical', 'drawings', 'can', 'mechanical', 'design', 'produc', 'hor', 'trabaj', 'metodologi', 'bim', 'cuant', 'plan', 'mecan', 'pued', 'elabor', 'proyect', 'mecan', 'project', 'management', 'project', 'management', 'institut', 'ipma', 'international', 'project', 'management', 'association', 'mas']",45
Yo podría hacer 15 planos,linkedin,yo podria hacer planos,"['podri', 'hac', 'plan']",5
"Great insight on the latest camping and outdoor hospitality trends with Rafael ""Rafo"" Correa on MC Fireside Chats.",linkedin,great insight on the latest camping and outdoor hospitality trends with rafael rafo correa on mc fireside chats,"['great', 'insight', 'the', 'latest', 'camping', 'and', 'outdoor', 'hospitality', 'trends', 'with', 'rafael', 'raf', 'corre', 'firesid', 'chats']",18
"MC Fireside Chats - March 5th, 2025  This week on MC Fireside Chats, join us on March 5, 2025, at 2 PM EST for an all-new episode where we take a deep dive into the latest camping and outdoor hospitality trends, brought to you by.   Join host Brian Searl alongside this week’s recurring guests:  *Mark Koep, Founder & CEO of *Scott Bahr, President of *Simon Neal, Founder & CEO of *Miguel Huerta, President of the *Rafael Correa, President & CFO of  In this episode, we’re excited to welcome special guests Shari L. Heilala, President & CEO of, and Matt Whittemore, a respected outdoor hospitality professional.   MC Fireside Chats is hosted by Brian Searl, the Founder & CEO of Insider Perks and Modern Campground. … más",linkedin,mc fireside chats march th this week on mc fireside chats join us on march at pm est for an allnew episode where we take a deep dive into the latest camping and outdoor hospitality trends brought to you by join host brian searl alongside this weeks recurring guests mark koep founder ceo of scott bahr president of simon neal founder ceo of miguel huerta president of the rafael correa president cfo of in this episode were excited to welcome special guests shari l heilala president ceo of and matt whittemore a respected outdoor hospitality professional mc fireside chats is hosted by brian searl the founder ceo of insider perks and modern campground mas,"['firesid', 'chats', 'march', 'this', 'week', 'firesid', 'chats', 'join', 'march', 'est', 'for', 'allnew', 'episod', 'wher', 'tak', 'deep', 'div', 'into', 'the', 'latest', 'camping', 'and', 'outdoor', 'hospitality', 'trends', 'brought', 'you', 'join', 'host', 'bri', 'searl', 'alongsid', 'this', 'weeks', 'recurring', 'guests', 'mark', 'koep', 'found', 'ceo', 'scott', 'bahr', 'president', 'simon', 'neal', 'found', 'ceo', 'miguel', 'huert', 'president', 'the', 'rafael', 'corre', 'president', 'cfo', 'this', 'episod', 'wer', 'excit', 'welcom', 'special', 'guests', 'shari', 'heilal', 'president', 'ceo', 'and', 'matt', 'whittemor', 'respect', 'outdoor', 'hospitality', 'professional', 'firesid', 'chats', 'host', 'bri', 'searl', 'the', 'found', 'ceo', 'insid', 'perks', 'and', 'modern', 'campground', 'mas']",125
Sounds like a fascinating discussion!,linkedin,sounds like a fascinating discussion,"['sounds', 'lik', 'fascinating', 'discussion']",5
"The origin of the blackouts and insecurity in Ecuador is Correismo  The blackouts, insecurity and the huge foreign debt all have their origin in the policies of the Rafael Correa regime  You will say how can we continue to blame Rafael Correa for the problems that occur almost eight years after he left power, and seven years since his elected successor and supporter Lenin Moreno ceased to be his supporter.  Well, it's simple. The three main problems facing Ecuador today are electricity blackouts, insecurity and high public debt. And all three problems have their origins in Correa's regime and policies.  Read more:  … más",linkedin,the origin of the blackouts and insecurity in ecuador is correismo the blackouts insecurity and the huge foreign debt all have their origin in the policies of the rafael correa regime you will say how can we continue to blame rafael correa for the problems that occur almost eight years after he left power and seven years since his elected successor and supporter lenin moreno ceased to be his supporter well its simple the three main problems facing ecuador today are electricity blackouts insecurity and high public debt and all three problems have their origins in correas regime and policies read more mas,"['the', 'origin', 'the', 'blackouts', 'and', 'insecurity', 'ecuador', 'correism', 'the', 'blackouts', 'insecurity', 'and', 'the', 'hug', 'foreign', 'debt', 'all', 'hav', 'the', 'origin', 'the', 'polici', 'the', 'rafael', 'corre', 'regim', 'you', 'will', 'say', 'how', 'can', 'continu', 'blam', 'rafael', 'corre', 'for', 'the', 'problems', 'that', 'occur', 'almost', 'eight', 'years', 'after', 'left', 'pow', 'and', 'sev', 'years', 'sinc', 'his', 'elect', 'successor', 'and', 'support', 'lenin', 'moren', 'ceas', 'his', 'support', 'well', 'its', 'simpl', 'the', 'thre', 'main', 'problems', 'facing', 'ecuador', 'today', 'are', 'electricity', 'blackouts', 'insecurity', 'and', 'high', 'public', 'debt', 'and', 'all', 'thre', 'problems', 'hav', 'the', 'origins', 'corr', 'regim', 'and', 'polici', 'read', 'mor', 'mas']",104
